fullyQualifiedClassName,baselineFlag,sonarFlag,jdeodorantFlag,wmc,tcc,atfd,cbo,loc,godClass,usedCboFallback,methodCount,fieldCount,dependencyTypeCount,reasons
org.jfree.chart.axis.NumberTick,true,false,false,,,,,,false,false,2,1,6,DEPENDENCY_TYPES>5
org.jfree.chart.axis.NumberTickUnit,true,false,false,,,,,,false,false,7,11,10,DEPENDENCY_TYPES>5
org.jfree.chart.axis.NumberTickUnitSource,true,false,false,,,,,,false,false,37,45,17,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.axis.PeriodAxis,true,false,true,,,,,,false,false,92,168,77,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.axis.PeriodAxisLabelInfo,true,false,false,,,,,,false,false,16,36,38,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.axis.QuarterDateFormat,true,false,false,,,,,,false,false,8,16,29,DEPENDENCY_TYPES>5
org.jfree.chart.axis.SubCategoryAxis,true,false,true,,,,,,false,false,26,72,48,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.axis.SymbolAxis,true,false,false,,,,,,false,false,58,145,67,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.axis.TickUnits,true,false,false,,,,,,false,false,12,12,21,DEPENDENCY_TYPES>5
org.jfree.chart.axis.ValueAxis,false,false,true,,,,,,false,false,0,0,0,
org.jfree.chart.axis.ValueTick,true,false,false,,,,,,false,false,7,7,8,DEPENDENCY_TYPES>5
org.jfree.chart.axis.are,true,false,false,,,,,,false,false,20,7,18,DEPENDENCY_TYPES>5
org.jfree.chart.axis.extends,true,false,false,,,,,,false,false,81,171,83,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.axis.for,true,false,false,,,,,,false,false,0,0,41,DEPENDENCY_TYPES>5
org.jfree.chart.axis.has,true,false,false,,,,,,false,false,97,198,84,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.axis.is,true,false,false,,,,,,false,false,7,9,14,DEPENDENCY_TYPES>5
org.jfree.chart.axis.representing,true,false,false,,,,,,false,false,12,11,12,DEPENDENCY_TYPES>5
org.jfree.chart.axis.that,true,false,false,,,,,,false,false,14,17,39,DEPENDENCY_TYPES>5
org.jfree.chart.axis.used,true,false,false,,,,,,false,false,9,15,12,DEPENDENCY_TYPES>5
org.jfree.chart.block.Arrangement,true,false,false,,,,,,false,false,3,0,10,DEPENDENCY_TYPES>5
org.jfree.chart.block.Block,true,false,false,,,,,,false,false,7,0,14,DEPENDENCY_TYPES>5
org.jfree.chart.block.BlockContainer,true,false,false,,,,,,false,false,21,32,34,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.block.BlockResult,true,false,false,,,,,,false,false,2,1,6,DEPENDENCY_TYPES>5
org.jfree.chart.block.BorderArrangement,true,false,false,,,,,,false,false,69,88,32,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.block.ColorBlock,true,false,false,,,,,,false,false,11,13,24,DEPENDENCY_TYPES>5
org.jfree.chart.block.EmptyBlock,true,false,false,,,,,,false,false,7,4,17,DEPENDENCY_TYPES>5
org.jfree.chart.block.GridArrangement,true,false,false,,,,,,false,false,60,75,26,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.block.LabelBlock,true,false,false,,,,,,false,false,22,34,45,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.block.LineBorder,true,false,false,,,,,,false,false,11,26,29,DEPENDENCY_TYPES>5
org.jfree.chart.block.RectangleConstraint,true,false,false,,,,,,false,false,32,11,12,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.block.for,true,false,false,,,,,,false,false,0,0,14,DEPENDENCY_TYPES>5
org.jfree.chart.block.is,true,false,false,,,,,,false,false,15,19,27,DEPENDENCY_TYPES>5
org.jfree.chart.can,true,false,false,,,,,,false,false,0,0,12,DEPENDENCY_TYPES>5
org.jfree.chart.date.MonthConstants,true,false,false,,,,,,false,false,0,12,25,DEPENDENCY_TYPES>5
org.jfree.chart.date.that,true,false,false,,,,,,false,false,77,91,110,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.date.uses,true,false,false,,,,,,false,false,38,32,48,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.encoders.EncoderUtil,true,false,false,,,,,,false,false,0,8,11,DEPENDENCY_TYPES>5
org.jfree.chart.encoders.ImageEncoder,true,false,false,,,,,,false,false,4,1,10,DEPENDENCY_TYPES>5
org.jfree.chart.encoders.ImageFormat,true,false,false,,,,,,false,false,0,3,12,DEPENDENCY_TYPES>5
org.jfree.chart.encoders.for,true,false,false,,,,,,false,false,7,2,12,DEPENDENCY_TYPES>5
org.jfree.chart.entity.CategoryItemEntity,true,false,false,,,,,,false,false,10,10,15,DEPENDENCY_TYPES>5
org.jfree.chart.entity.CategoryLabelEntity,true,false,false,,,,,,false,false,6,9,12,DEPENDENCY_TYPES>5
org.jfree.chart.entity.ChartEntity,false,false,true,,,,,,false,false,0,0,0,
org.jfree.chart.entity.FlowEntity,true,false,false,,,,,,false,false,5,7,11,DEPENDENCY_TYPES>5
org.jfree.chart.entity.LegendItemEntity,true,false,false,,,,,,false,false,9,10,13,DEPENDENCY_TYPES>5
org.jfree.chart.entity.NodeEntity,true,false,false,,,,,,false,false,4,1,9,DEPENDENCY_TYPES>5
org.jfree.chart.entity.PieSectionEntity,true,false,false,,,,,,false,false,15,16,16,DEPENDENCY_TYPES>5
org.jfree.chart.entity.StandardEntityCollection,true,false,false,,,,,,false,false,14,15,22,DEPENDENCY_TYPES>5
org.jfree.chart.entity.TickLabelEntity,true,false,false,,,,,,false,false,1,1,6,DEPENDENCY_TYPES>5
org.jfree.chart.entity.XYAnnotationEntity,true,false,false,,,,,,false,false,6,8,11,DEPENDENCY_TYPES>5
org.jfree.chart.entity.XYItemEntity,true,false,false,,,,,,false,false,12,10,11,DEPENDENCY_TYPES>5
org.jfree.chart.entity.that,true,false,false,,,,,,false,false,30,28,9,DEPENDENCY_TYPES>5
org.jfree.chart.event.ChartChangeEvent,true,false,false,,,,,,false,false,7,2,9,DEPENDENCY_TYPES>5
org.jfree.chart.event.ChartProgressEvent,true,false,false,,,,,,false,false,7,3,7,DEPENDENCY_TYPES>5
org.jfree.chart.imagemap.DynamicDriveToolTipTagFragmentGenerator,true,false,false,,,,,,false,false,2,2,8,DEPENDENCY_TYPES>5
org.jfree.chart.imagemap.ImageMapUtils,true,false,false,,,,,,false,false,18,14,23,DEPENDENCY_TYPES>5
org.jfree.chart.imagemap.OverLIBToolTipTagFragmentGenerator,true,false,false,,,,,,false,false,2,0,6,DEPENDENCY_TYPES>5
org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator,true,false,false,,,,,,false,false,2,0,6,DEPENDENCY_TYPES>5
org.jfree.chart.imagemap.StandardURLTagFragmentGenerator,true,false,false,,,,,,false,false,2,0,6,DEPENDENCY_TYPES>5
org.jfree.chart.imagemap.ToolTipTagFragmentGenerator,true,false,false,,,,,,false,false,1,0,8,DEPENDENCY_TYPES>5
org.jfree.chart.imagemap.URLTagFragmentGenerator,true,false,false,,,,,,false,false,1,0,9,DEPENDENCY_TYPES>5
org.jfree.chart.implemented,true,false,false,,,,,,false,false,0,0,57,DEPENDENCY_TYPES>5
org.jfree.chart.internal.ArrayUtils,true,false,false,,,,,,false,false,30,25,11,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.internal.CloneUtils,true,false,false,,,,,,false,false,10,13,16,DEPENDENCY_TYPES>5
org.jfree.chart.internal.HashUtils,true,false,false,,,,,,false,false,14,19,7,DEPENDENCY_TYPES>5
org.jfree.chart.internal.LineUtils,true,false,false,,,,,,false,false,3,43,10,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.internal.PaintUtils,true,false,false,,,,,,false,false,12,22,21,DEPENDENCY_TYPES>5
org.jfree.chart.internal.ShapeUtils,true,false,false,,,,,,false,false,34,71,36,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.jfree.chart.internal.containing,true,false,false,,,,,,false,false,35,127,50,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
