fullyQualifiedClassName,baselineFlag,sonarFlag,jdeodorantFlag,wmc,tcc,atfd,cbo,loc,godClass,usedCboFallback,methodCount,fieldCount,dependencyTypeCount,reasons
org.joda.time.chrono.JulianChronology,true,false,false,,,,,,false,false,32,38,36,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.chrono.LenientChronology,true,false,false,,,,,,false,false,17,10,11,DEPENDENCY_TYPES>5
org.joda.time.chrono.LimitChronology,true,false,false,,,,,,false,false,116,85,36,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.chrono.StrictChronology,true,false,false,,,,,,false,false,17,10,11,DEPENDENCY_TYPES>5
org.joda.time.chrono.ZonedChronology,true,false,false,,,,,,false,false,91,103,38,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.chrono.ZonedChronology.ZonedDurationField,false,false,true,,,,,,false,false,0,0,0,
org.joda.time.chrono.has,true,false,false,,,,,,false,false,0,0,17,DEPENDENCY_TYPES>5
org.joda.time.chrono.supplied,true,false,false,,,,,,false,false,20,33,48,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.chrono.used,true,false,false,,,,,,false,false,46,60,18,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.convert.AbstractConverter,true,false,false,,,,,,false,false,10,2,20,DEPENDENCY_TYPES>5
org.joda.time.convert.CalendarConverter,true,false,false,,,,,,false,false,8,9,24,DEPENDENCY_TYPES>5
org.joda.time.convert.ConverterManager,false,false,true,,,,,,false,false,0,0,0,
org.joda.time.convert.ConverterSet,false,false,true,,,,,,false,false,0,0,0,
org.joda.time.convert.DateConverter,true,false,false,,,,,,false,false,3,2,10,DEPENDENCY_TYPES>5
org.joda.time.convert.IntervalConverter,true,false,false,,,,,,false,false,2,0,7,DEPENDENCY_TYPES>5
org.joda.time.convert.LongConverter,true,false,false,,,,,,false,false,4,1,9,DEPENDENCY_TYPES>5
org.joda.time.convert.NullConverter,true,false,false,,,,,,false,false,5,3,14,DEPENDENCY_TYPES>5
org.joda.time.convert.PeriodConverter,true,false,false,,,,,,false,false,2,0,7,DEPENDENCY_TYPES>5
org.joda.time.convert.ReadableDurationConverter,true,false,false,,,,,,false,false,5,5,13,DEPENDENCY_TYPES>5
org.joda.time.convert.ReadableInstantConverter,true,false,false,,,,,,false,false,9,8,16,DEPENDENCY_TYPES>5
org.joda.time.convert.ReadableIntervalConverter,true,false,false,,,,,,false,false,8,8,16,DEPENDENCY_TYPES>5
org.joda.time.convert.ReadablePartialConverter,true,false,false,,,,,,false,false,7,8,17,DEPENDENCY_TYPES>5
org.joda.time.convert.ReadablePeriodConverter,true,false,false,,,,,,false,false,4,2,14,DEPENDENCY_TYPES>5
org.joda.time.convert.StringConverter,true,false,false,,,,,,false,false,23,48,30,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.convert.is,true,false,false,,,,,,false,false,40,58,32,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.convert.must,true,false,false,,,,,,false,false,3,0,8,DEPENDENCY_TYPES>5
org.joda.time.defines,true,false,false,,,,,,false,false,49,0,42,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.expresses,true,false,false,,,,,,false,false,12,0,17,DEPENDENCY_TYPES>5
org.joda.time.field.DecoratedDateTimeField,true,false,false,,,,,,false,false,13,4,10,DEPENDENCY_TYPES>5
org.joda.time.field.DecoratedDurationField,true,false,false,,,,,,false,false,13,4,7,DEPENDENCY_TYPES>5
org.joda.time.field.DelegatedDateTimeField,true,false,false,,,,,,false,false,57,10,12,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.field.DelegatedDurationField,true,false,false,,,,,,false,false,27,8,10,DEPENDENCY_TYPES>5
org.joda.time.field.DividedDateTimeField,true,false,false,,,,,,false,false,23,35,17,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
org.joda.time.field.FieldUtils,true,false,false,,,,,,false,false,48,21,27,METHODS_PLUS_FIELDS>40;DEPENDENCY_TYPES>5
